company_name,revenue,time_zone,notes,last_updated
Titan Haulers,45000,CST,Left voicemail; requested follow-up next week,2025-03-30 14:10
NorthPeak Hydraulics,80000,MST,"Good fit, considering switching from competitor",2025-03-29 09:42
ClearLine Packaging,30000,EST,Spoke with ops manager; asked for rate sheet,2025-03-27 16:20
BlueRiver Produce,20000,CST,Seasonal but wants Q3 support,2025-03-25 10:55
Vector Industrial Tools,50000,PST,Qualified lead; email sent with intro deck,2025-03-24 13:33
Summit Freight Buyers,75000,EST,Lead from referral; pricing review Wednesday,2025-03-28 11:02
IronClad Safety Gear,25000,CST,Follow-up scheduled Friday at 2 PM,2025-03-26 15:47
Falcon Robotics,120000,PST,High-value prospect; engineering needs heavy LTL,2025-03-30 11:49
Precision Pumps,60000,MST,Meeting next Monday,2025-03-29 08:15
RedRock Aggregate,40000,CST,Slow-moving lead; revisit in 2 weeks,2025-03-23 17:28
